id,name,description,postcode,date_availability,expected_price,selling_price,bedrooms,living_area,facades,garage,garden,garden_area,garden_orientation,active,state
179,Housing Number 179,"A house. Here's a random fraction: 0,785388861794333",340,02/10/25,2420000,79,2,467,3,True,True,50,south,True,sold
180,Housing Number 180,"A house. Here's a random fraction: 0,71675156988578",165,24/09/25,830000,80,1,113,2,True,True,65,east,True,offer_received
181,Housing Number 181,"A house. Here's a random fraction: 0,913750398365162",340,13/07/25,1290000,81,1,234,4,True,True,105,west,True,sold
182,Housing Number 182,"A house. Here's a random fraction: 0,683899996839409",250,13/06/25,3620000,82,2,502,1,True,True,20,south,True,sold
183,Housing Number 183,"A house. Here's a random fraction: 0,940960296678845",165,02/08/25,1910000,83,1,288,5,True,True,110,west,True,new
184,Housing Number 184,"A house. Here's a random fraction: 0,832195482044503",165,26/08/25,2750000,84,2,473,0,True,True,10,south,True,cancelled
185,Housing Number 185,"A house. Here's a random fraction: 0,868882432626906",250,23/06/25,3090000,85,3,530,3,True,True,65,south,True,sold
186,Housing Number 186,"A house. Here's a random fraction: 0,418333132513471",480,10/08/25,1970000,86,2,260,5,True,True,125,west,True,sold
187,Housing Number 187,"A house. Here's a random fraction: 0,71662645059038",480,12/06/25,4810000,87,5,907,2,True,True,5,east,True,sold
188,Housing Number 188,"A house. Here's a random fraction: 0,497956465591044",480,19/06/25,680000,88,1,73,3,True,True,25,east,True,sold
189,Housing Number 189,"A house. Here's a random fraction: 0,703808613683517",250,06/10/25,4670000,89,3,819,3,True,True,15,east,True,sold
190,Housing Number 190,"A house. Here's a random fraction: 0,33437829774332",250,06/09/25,3290000,90,3,414,1,True,True,70,north,True,offer_received
191,Housing Number 191,"A house. Here's a random fraction: 0,241974011344587",250,21/09/25,1880000,91,2,274,0,True,True,10,north,True,cancelled
192,Housing Number 192,"A house. Here's a random fraction: 0,300012462547461",340,23/10/25,4060000,92,3,690,2,True,True,15,east,True,cancelled
193,Housing Number 193,"A house. Here's a random fraction: 0,465885772451407",250,28/07/25,2530000,93,2,310,0,True,True,60,west,True,sold
194,Housing Number 194,"A house. Here's a random fraction: 0,708794125737438",165,07/08/25,2070000,94,1,378,3,True,True,100,west,True,offer_received
195,Housing Number 195,"A house. Here's a random fraction: 0,431390817374523",340,02/11/25,4710000,95,3,647,0,True,True,5,south,True,cancelled
196,Housing Number 196,"A house. Here's a random fraction: 0,446870548934166",340,28/05/25,4670000,96,2,598,5,True,True,5,south,True,cancelled
197,Housing Number 197,"A house. Here's a random fraction: 0,593561335998041",480,28/09/25,4700000,97,2,606,1,True,True,40,west,True,cancelled
198,Housing Number 198,"A house. Here's a random fraction: 0,790027889159214",165,23/09/25,2500000,98,2,312,5,True,True,55,west,True,cancelled
199,Housing Number 199,"A house. Here's a random fraction: 0,652400918030051",250,01/10/25,2100000,99,1,290,4,True,True,45,west,True,new
200,Housing Number 200,"A house. Here's a random fraction: 0,970430426335879",340,19/11/25,4020000,100,3,622,3,True,True,20,west,True,cancelled
201,Housing Number 201,"A house. Here's a random fraction: 0,317563178302477",340,16/06/25,4980000,101,3,697,5,True,True,30,east,True,cancelled
202,Housing Number 202,"A house. Here's a random fraction: 0,520602558797391",165,04/07/25,4630000,102,2,567,0,True,True,115,west,True,cancelled
203,Housing Number 203,"A house. Here's a random fraction: 0,14801095910822",250,03/09/25,1840000,103,1,353,3,True,True,40,south,True,sold
204,Housing Number 204,"A house. Here's a random fraction: 0,117937127708632",480,26/06/25,2050000,104,2,312,0,True,True,15,north,True,offer_accepted
205,Housing Number 205,"A house. Here's a random fraction: 0,412598526523673",340,19/07/25,2090000,105,1,228,2,True,True,45,east,True,offer_received
206,Housing Number 206,"A house. Here's a random fraction: 0,752669363728359",250,04/08/25,650000,106,1,80,5,True,True,60,west,True,offer_received
207,Housing Number 207,"A house. Here's a random fraction: 0,277278508993659",165,15/09/25,2330000,107,2,327,2,True,True,100,west,True,new
208,Housing Number 208,"A house. Here's a random fraction: 0,697864303636476",165,10/08/25,3650000,108,2,399,3,True,True,5,south,True,cancelled
209,Housing Number 209,"A house. Here's a random fraction: 0,768333460351188",340,03/09/25,3730000,109,3,701,1,True,True,125,north,True,sold
210,Housing Number 210,"A house. Here's a random fraction: 0,0316374893825337",480,29/07/25,4260000,110,2,721,0,True,True,40,south,True,offer_accepted
211,Housing Number 211,"A house. Here's a random fraction: 0,449577420230894",250,10/06/25,1790000,111,1,346,5,True,True,45,north,True,cancelled
212,Housing Number 212,"A house. Here's a random fraction: 0,670557469194065",250,15/08/25,280000,112,1,55,2,True,True,40,east,True,offer_received
213,Housing Number 213,"A house. Here's a random fraction: 0,823788468704524",250,17/10/25,4750000,113,5,807,3,True,True,55,west,True,sold
214,Housing Number 214,"A house. Here's a random fraction: 0,90992567049277",165,11/09/25,4460000,114,5,794,0,True,True,120,east,True,sold
215,Housing Number 215,"A house. Here's a random fraction: 0,478834661075629",250,26/08/25,2590000,115,2,315,3,True,True,30,east,True,offer_received
216,Housing Number 216,"A house. Here's a random fraction: 0,0831005686988702",340,05/09/25,1260000,116,1,186,2,True,True,90,north,True,sold
217,Housing Number 217,"A house. Here's a random fraction: 0,67412217928947",165,26/07/25,2570000,117,1,478,1,True,True,20,north,True,offer_received
218,Housing Number 218,"A house. Here's a random fraction: 0,887716418186739",165,16/08/25,2820000,118,1,416,3,True,True,65,west,True,offer_accepted
219,Housing Number 219,"A house. Here's a random fraction: 0,679576660743034",165,21/09/25,240000,119,1,44,4,True,True,80,west,True,offer_accepted
220,Housing Number 220,"A house. Here's a random fraction: 0,0237714814411962",480,29/09/25,4850000,120,5,906,2,True,True,25,south,True,sold
221,Housing Number 221,"A house. Here's a random fraction: 0,611089852085886",480,28/05/25,4270000,121,2,697,4,True,True,25,north,True,sold
222,Housing Number 222,"A house. Here's a random fraction: 0,648467744309597",480,04/11/25,3510000,122,3,472,4,True,True,40,south,True,cancelled
223,Housing Number 223,"A house. Here's a random fraction: 0,301147978313659",250,17/07/25,3470000,123,1,603,5,True,True,60,west,True,sold
224,Housing Number 224,"A house. Here's a random fraction: 0,812238407582698",165,26/08/25,4660000,124,4,915,0,True,True,70,south,True,sold
225,Housing Number 225,"A house. Here's a random fraction: 0,738043769362154",480,01/10/25,1010000,125,1,176,1,True,True,90,east,True,offer_received
226,Housing Number 226,"A house. Here's a random fraction: 0,989496680148703",165,27/08/25,2610000,126,2,508,3,True,True,75,north,True,cancelled
227,Housing Number 227,"A house. Here's a random fraction: 0,952119191573478",250,31/10/25,1530000,127,2,248,5,True,True,25,east,True,sold
228,Housing Number 228,"A house. Here's a random fraction: 0,728494647359594",340,01/06/25,3160000,128,1,379,5,True,True,110,south,True,sold
229,Housing Number 229,"A house. Here's a random fraction: 0,780632612723664",165,10/10/25,700000,129,1,88,4,True,True,15,south,True,offer_accepted
230,Housing Number 230,"A house. Here's a random fraction: 0,688990162270367",340,20/11/25,4560000,130,2,844,2,True,True,115,south,True,sold
231,Housing Number 231,"A house. Here's a random fraction: 0,780285917890372",340,23/09/25,1010000,131,1,193,5,True,True,5,west,True,cancelled
232,Housing Number 232,"A house. Here's a random fraction: 0,788004880155346",165,05/06/25,4750000,132,2,688,1,True,True,70,south,True,sold
233,Housing Number 233,"A house. Here's a random fraction: 0,435065205130686",165,28/09/25,1690000,133,1,218,2,True,True,60,south,True,new
234,Housing Number 234,"A house. Here's a random fraction: 0,58431541600061",480,06/10/25,250000,134,1,26,4,True,True,35,north,True,cancelled
235,Housing Number 235,"A house. Here's a random fraction: 0,580461047931341",250,27/09/25,4750000,135,4,659,5,True,True,90,east,True,sold
236,Housing Number 236,"A house. Here's a random fraction: 0,33494855511395",340,03/10/25,3220000,136,2,629,0,True,True,115,south,True,cancelled
237,Housing Number 237,"A house. Here's a random fraction: 0,722477933713008",250,24/07/25,880000,137,1,90,0,True,True,25,east,True,offer_received
238,Housing Number 238,"A house. Here's a random fraction: 0,191196199333748",165,22/11/25,1110000,138,1,132,4,True,True,65,west,True,sold
239,Housing Number 239,"A house. Here's a random fraction: 0,981270622261533",165,30/10/25,2230000,139,3,430,4,True,True,55,west,True,sold
240,Housing Number 240,"A house. Here's a random fraction: 0,299959843082306",250,27/05/25,1650000,140,1,255,5,True,True,95,east,True,offer_received
241,Housing Number 241,"A house. Here's a random fraction: 0,823562302308284",250,04/10/25,4230000,141,2,823,0,True,True,35,south,True,offer_received
242,Housing Number 242,"A house. Here's a random fraction: 0,0564335258983626",165,09/07/25,3280000,142,1,553,0,True,True,65,west,True,cancelled
243,Housing Number 243,"A house. Here's a random fraction: 0,44446471031148",480,27/05/25,800000,143,1,116,5,True,True,85,east,True,offer_received
244,Housing Number 244,"A house. Here's a random fraction: 0,839542377019882",480,16/08/25,530000,144,1,85,0,True,True,60,west,True,sold
245,Housing Number 245,"A house. Here's a random fraction: 0,386368611957361",165,07/06/25,3100000,145,2,600,4,True,True,100,north,True,sold
246,Housing Number 246,"A house. Here's a random fraction: 0,482276633461148",480,17/09/25,3350000,146,4,360,0,True,True,95,west,True,sold
247,Housing Number 247,"A house. Here's a random fraction: 0,889239452574643",165,16/07/25,870000,147,1,155,0,True,True,120,south,True,cancelled
248,Housing Number 248,"A house. Here's a random fraction: 0,191280509888455",480,17/09/25,3000000,148,1,389,4,True,True,100,west,True,sold
249,Housing Number 249,"A house. Here's a random fraction: 0,462429994358162",165,21/08/25,3180000,149,1,619,2,True,True,75,south,True,sold
250,Housing Number 250,"A house. Here's a random fraction: 0,664086528173642",250,31/10/25,2330000,150,2,351,4,True,True,10,north,True,offer_received
251,Housing Number 251,"A house. Here's a random fraction: 0,021342923784484",165,28/05/25,1750000,151,2,204,5,True,True,110,south,True,cancelled
252,Housing Number 252,"A house. Here's a random fraction: 0,452110765093909",480,22/10/25,1980000,152,1,359,2,True,True,40,east,True,sold
253,Housing Number 253,"A house. Here's a random fraction: 0,552978750205876",250,09/07/25,2430000,153,1,386,1,True,True,5,west,True,offer_received
254,Housing Number 254,"A house. Here's a random fraction: 0,951839514562867",250,15/09/25,4510000,154,2,608,3,True,True,100,west,True,new
255,Housing Number 255,"A house. Here's a random fraction: 0,82373237850084",480,04/11/25,1870000,155,2,256,5,True,True,125,west,True,sold
256,Housing Number 256,"A house. Here's a random fraction: 0,286839144512464",165,30/10/25,2110000,156,2,396,0,True,True,75,west,True,offer_received
257,Housing Number 257,"A house. Here's a random fraction: 0,838038155625258",250,04/08/25,3580000,157,2,688,1,True,True,100,north,True,sold
258,Housing Number 258,"A house. Here's a random fraction: 0,757925956670173",340,23/10/25,2130000,158,1,377,5,True,True,75,south,True,cancelled
259,Housing Number 259,"A house. Here's a random fraction: 0,675866634752415",340,20/08/25,2840000,159,1,463,2,True,True,40,north,True,cancelled
260,Housing Number 260,"A house. Here's a random fraction: 0,582015759270203",165,13/11/25,4370000,160,2,645,5,True,True,90,south,True,cancelled
261,Housing Number 261,"A house. Here's a random fraction: 0,172996011454443",250,03/09/25,1890000,161,2,337,2,True,True,5,south,True,sold
262,Housing Number 262,"A house. Here's a random fraction: 0,1533588682668",340,02/07/25,2060000,162,1,345,4,True,True,90,north,True,offer_accepted
263,Housing Number 263,"A house. Here's a random fraction: 0,333996955988429",250,18/11/25,2610000,163,1,420,5,True,True,105,south,True,sold
264,Housing Number 264,"A house. Here's a random fraction: 0,649925024950705",340,18/10/25,4760000,164,2,520,5,True,True,75,west,True,sold
265,Housing Number 265,"A house. Here's a random fraction: 0,143686815403541",250,04/10/25,4120000,165,2,464,0,True,True,75,west,True,cancelled
266,Housing Number 266,"A house. Here's a random fraction: 0,967882247623703",165,14/08/25,700000,166,1,83,1,True,True,10,east,True,offer_received
267,Housing Number 267,"A house. Here's a random fraction: 0,915950313882846",165,18/08/25,1590000,167,1,217,0,True,True,115,west,True,new
268,Housing Number 268,"A house. Here's a random fraction: 0,978718607411833",165,27/06/25,630000,168,1,126,2,True,True,30,west,True,cancelled
269,Housing Number 269,"A house. Here's a random fraction: 0,988243356727532",165,28/10/25,2870000,169,2,380,3,True,True,30,west,True,sold
270,Housing Number 270,"A house. Here's a random fraction: 0,513763300973793",165,28/09/25,1630000,170,1,301,1,True,True,55,west,True,sold
271,Housing Number 271,"A house. Here's a random fraction: 0,430828891444551",250,26/07/25,4620000,171,5,566,4,True,True,50,east,True,offer_received
272,Housing Number 272,"A house. Here's a random fraction: 0,0329458765676313",165,14/10/25,3230000,172,2,614,4,True,True,80,north,True,offer_received
273,Housing Number 273,"A house. Here's a random fraction: 0,0237011841047257",480,10/10/25,2870000,173,3,332,2,True,True,60,south,True,cancelled
274,Housing Number 274,"A house. Here's a random fraction: 0,504948895152161",480,16/08/25,4490000,174,4,476,4,True,True,125,east,True,cancelled
275,Housing Number 275,"A house. Here's a random fraction: 0,866459055964796",480,01/08/25,4730000,175,2,504,0,True,True,20,east,True,sold
276,Housing Number 276,"A house. Here's a random fraction: 0,577092446629753",480,06/10/25,2600000,176,1,326,1,True,True,55,south,True,cancelled
277,Housing Number 277,"A house. Here's a random fraction: 0,934917008817884",340,17/06/25,1860000,177,2,227,2,True,True,60,south,True,offer_received
278,Housing Number 278,"A house. Here's a random fraction: 0,160310736841916",165,22/09/25,1320000,178,1,164,0,True,True,115,east,True,sold
279,Housing Number 279,"A house. Here's a random fraction: 0,920540016861116",250,02/10/25,3900000,179,2,418,1,True,True,35,east,True,offer_accepted
280,Housing Number 280,"A house. Here's a random fraction: 0,0515635826653805",340,07/10/25,690000,180,1,129,4,True,True,10,north,True,cancelled
281,Housing Number 281,"A house. Here's a random fraction: 0,568315013014293",165,10/07/25,2330000,181,1,301,3,True,True,50,north,True,sold
282,Housing Number 282,"A house. Here's a random fraction: 0,376173884367628",480,09/07/25,4990000,182,5,903,3,True,True,15,north,True,offer_accepted
283,Housing Number 283,"A house. Here's a random fraction: 0,489830303982048",480,09/08/25,2930000,183,2,401,3,True,True,100,north,True,cancelled
284,Housing Number 284,"A house. Here's a random fraction: 0,474703466157679",480,21/06/25,2710000,184,3,371,3,True,True,50,east,True,offer_received
285,Housing Number 285,"A house. Here's a random fraction: 0,29466743267353",480,20/08/25,4020000,185,2,525,2,True,True,65,east,True,cancelled
286,Housing Number 286,"A house. Here's a random fraction: 0,574465047346526",165,08/07/25,3910000,186,3,676,2,True,True,65,south,True,sold
287,Housing Number 287,"A house. Here's a random fraction: 0,538091024493579",480,20/08/25,960000,187,1,173,2,True,True,65,north,True,cancelled
288,Housing Number 288,"A house. Here's a random fraction: 0,317111322670312",340,08/11/25,1940000,188,1,302,4,True,True,5,south,True,sold
289,Housing Number 289,"A house. Here's a random fraction: 0,881252065836792",165,08/07/25,1280000,189,1,189,2,True,True,75,east,True,cancelled
290,Housing Number 290,"A house. Here's a random fraction: 0,781921128091969",340,15/09/25,1670000,190,2,170,5,True,True,65,south,True,offer_received
291,Housing Number 291,"A house. Here's a random fraction: 0,663939260883444",250,11/10/25,2400000,191,2,286,3,True,True,80,west,True,offer_accepted
292,Housing Number 292,"A house. Here's a random fraction: 0,320740199684623",340,29/05/25,490000,192,1,73,2,True,True,30,east,True,sold
293,Housing Number 293,"A house. Here's a random fraction: 0,331846825139487",165,06/09/25,3870000,193,2,577,3,True,True,100,north,True,offer_received
294,Housing Number 294,"A house. Here's a random fraction: 0,721607076293803",340,20/09/25,2030000,194,2,404,4,True,True,95,west,True,sold
295,Housing Number 295,"A house. Here's a random fraction: 0,447027268588575",250,15/06/25,1410000,195,1,162,3,True,True,95,west,True,cancelled
296,Housing Number 296,"A house. Here's a random fraction: 0,479512873712385",480,18/06/25,4570000,196,2,551,1,True,True,120,north,True,sold
297,Housing Number 297,"A house. Here's a random fraction: 0,581968724582155",340,28/10/25,4750000,197,2,522,0,True,True,35,south,True,sold
298,Housing Number 298,"A house. Here's a random fraction: 0,654423737987633",340,04/11/25,2810000,198,2,485,4,True,True,55,north,True,sold
299,Housing Number 299,"A house. Here's a random fraction: 0,57720543137595",480,19/10/25,600000,199,1,102,5,True,True,115,east,True,sold
300,Housing Number 300,"A house. Here's a random fraction: 0,368938137550688",165,31/10/25,860000,200,1,129,5,True,True,30,north,True,sold
301,Housing Number 301,"A house. Here's a random fraction: 0,068514133852932",480,27/08/25,1910000,201,2,278,0,True,True,35,south,True,sold
302,Housing Number 302,"A house. Here's a random fraction: 0,417475678280751",480,03/06/25,2310000,202,2,275,3,True,True,85,west,True,sold
303,Housing Number 303,"A house. Here's a random fraction: 0,155799366862405",480,31/07/25,4690000,203,3,856,1,True,True,65,south,True,new
304,Housing Number 304,"A house. Here's a random fraction: 0,659710340476442",165,10/11/25,790000,204,1,113,1,True,True,65,south,True,new
305,Housing Number 305,"A house. Here's a random fraction: 0,312317374493106",250,02/07/25,1910000,205,1,285,5,True,True,120,south,True,sold
306,Housing Number 306,"A house. Here's a random fraction: 0,0173631756305543",340,13/09/25,4260000,206,2,705,2,True,True,115,west,True,cancelled
307,Housing Number 307,"A house. Here's a random fraction: 0,995471662220019",165,25/10/25,1570000,207,1,230,4,True,True,35,north,True,cancelled
308,Housing Number 308,"A house. Here's a random fraction: 0,0910406148480047",250,11/08/25,4350000,208,5,850,1,True,True,35,north,True,cancelled
